CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
90436,1,11,5,3,2,2,1,0,1,0,0,0,26,0.00,0,0,26,T
90438,1,4,0,3,8,0,0,8,0,0,0,0,24,0.00,0,0,24,T
90442,0,19,0,0,5,0,0,0,0,0,0,0,24,4.00,1,0,25,NULL
90443,0,22,0,0,3,0,0,0,0,0,0,0,25,0.00,0,0,25,NULL
90446,0,12,0,0,3,0,0,4,0,0,1,0,20,16.67,3,1,24,NULL
90448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,T
90450,1,4,7,2,4,1,1,0,3,0,0,0,23,4.17,1,0,24,T
90455,0,4,0,0,2,0,0,6,0,3,13,0,28,60.00,2,0,30,NULL
90460,0,7,25,4,0,0,0,0,0,0,0,0,36,2.63,1,1,38,H
90469,7,5,3,1,1,0,0,2,0,0,0,0,19,0.00,0,3,22,T
90476,0,2,1,1,2,4,2,5,0,1,0,0,18,15.00,2,0,20,T
90477,0,0,6,2,4,4,2,3,2,1,1,0,25,11.54,1,0,26,T
90478,1,4,6,6,8,6,5,2,3,2,0,0,43,4.65,0,0,43,T
90482,1,7,5,4,8,3,1,0,1,0,2,0,32,16.22,4,1,37,T
90487,0,6,0,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,H
90489,0,4,0,2,0,0,0,0,0,0,0,0,6,14.29,1,0,7,T
90490,0,5,2,1,1,0,0,0,0,0,0,0,9,18.18,2,0,11,T
90497,0,15,0,0,2,0,0,2,0,1,1,0,21,17.39,2,0,23,NULL
90498,0,7,0,0,9,0,0,3,0,1,0,0,20,13.04,2,1,23,NULL
90499,0,10,0,0,4,0,0,4,0,0,1,0,19,13.64,2,1,22,NULL
90501,0,14,7,0,1,1,0,0,0,0,0,1,24,4.00,0,1,25,E
90502,0,5,0,0,9,0,0,2,0,1,1,0,18,22.73,3,1,22,NULL
